word,is_solution,first_entropy
addio,0,3.902403
addle,0,4.487970
adeem,0,4.366011
adept,1,4.915998
adhan,0,3.848109
adieu,0,4.878827
adios,0,4.777269
adits,0,4.876078
adman,0,3.838881
admen,0,4.807509
admin,1,4.448953
admit,1,4.613955
admix,0,3.636613
adobe,1,4.839640
adobo,0,3.735916
adopt,1,4.733875
adore,1,5.435577
adorn,1,5.050345
adown,0,4.320156
adoze,0,4.404649
adrad,0,3.624771
adred,0,4.574745
adsum,0,4.231139
aduki,0,3.990360
adult,1,4.878509
adunc,0,4.452598
adust,0,4.851920
advew,0,4.045531
adyta,0,3.885446
adzed,0,3.541769
adzes,0,4.239241
aecia,0,4.525612
aedes,0,4.730106
aegis,0,5.011274
aeons,0,5.395354
aerie,0,5.253231
aeros,0,5.528939
aesir,0,5.621975
afald,0,3.934341
afara,0,3.381759
afars,0,4.151173
afear,0,4.460635
affix,1,2.870085
afire,1,5.250717
aflaj,0,3.147876
afoot,1,4.132550
afore,0,5.211487
afoul,1,4.522820
afrit,0,4.960137
afros,0,4.741808
after,1,5.142395
again,1,4.186997
agama,0,2.974790
agami,0,3.711892
agape,1,4.299532
agars,0,4.264054
agast,0,4.372355
agate,1,4.654873
agave,0,3.974863
agaze,0,3.740271
agene,0,4.628109
agent,1,5.087335
agers,0,5.080021
agger,0,4.362149
aggie,0,4.276415
aggri,0,3.907036
aggro,0,4.006670
aggry,0,3.820288
aghas,0,3.700581
agila,0,4.158611
agile,1,5.271346
aging,1,3.845684
agios,0,4.692762
agism,0,4.493209
agist,0,4.975232
agita,0,4.159839
aglee,0,4.741979
aglet,0,5.259434
agley,0,4.877739
agloo,0,4.039937
aglow,1,4.235865
aglus,0,4.472608
agmas,0,3.689577
agoge,0,4.290223
agone,0,5.121101
agons,0,4.708608
agony,1,4.583921
agood,0,3.897907
agora,1,4.259917
agree,1,4.868715
agria,0,4.211060
agrin,0,4.883870
agros,0,4.858380
agued,0,4.713533
agues,0,4.838113
aguna,0,3.837242
aguti,0,4.484079
ahead,1,4.328311
aheap,0,4.263018
ahent,0,5.288567
ahigh,0,3.811078
ahind,0,4.741806
ahing,0,4.550214
ahint,0,5.089220
ahold,0,4.847121
ahull,0,4.163505
ahuru,0,4.026606
aidas,0,4.254966
aided,0,4.470576
aider,1,5.401613
aides,0,5.194329
aidoi,0,4.030685
aidos,0,4.826547
aiery,0,5.343375
aigas,0,4.164845
aight,0,4.643693
ailed,0,5.354538
aimed,0,4.967188
aimer,0,5.303809
ainee,0,5.084423
ainga,0,4.074507
aioli,0,4.412947
aired,0,5.474454
airer,0,5.012923
airns,0,5.280130
airth,0,5.226118
airts,0,5.367149
aisle,1,5.636828
aitch,0,4.846156
aitus,0,4.916925
aiver,0,5.033534
aiyee,0,4.789158
aizle,0,4.826161
ajies,0,4.611024
ajiva,0,3.013454
ajuga,0,3.063976
ajwan,0,3.099326
akees,0,4.402394
akela,0,4.218311
akene,0,4.517404
aking,0,4.223233
akita,0,4.027638
akkas,0,2.987581
alaap,0,3.617251
alack,0,4.050804
alamo,0,4.281166
aland,0,4.462146
alane,0,5.068286
alang,0,4.265337
alans,0,4.587229
alant,0,4.793222
alapa,0,3.537875
alaps,0,4.314557
alarm,1,4.467208
alary,0,4.590758
alate,0,5.150348
alays,0,4.296824
albas,0,4.142659
albee,0,4.823049
album,1,4.283599
alcid,0,4.835812
alcos,0,4.977828
aldea,0,4.636565
alder,0,5.437235
aldol,0,4.342215
aleck,0,4.834390
alecs,0,5.298689
alefs,0,4.915425
aleft,0,5.120944
aleph,0,4.995867
alert,1,5.745837
alews,0,4.894635
aleye,0,4.805385
alfas,0,4.031337
algae,1,4.667756
algal,0,3.592678
algas,0,4.197810
algid,0,4.696463
algin,0,4.857967
algor,0,5.106496
algum,0,4.335530
alias,0,4.614225
alibi,1,3.995149
alien,1,5.609534
alifs,0,4.710324
align,1,4.914204
alike,1,5.178799
aline,0,5.637222
alist,0,5.479818
alive,1,5.070301
aliya,0,4.267300
alkie,0,5.102296
alkos,0,4.644403
alkyd,0,4.149778
alkyl,0,3.674400
allay,1,3.675562
allee,0,4.517165
allel,0,4.057402
alley,1,4.627102
allis,0,4.477168
allod,0,4.336423
allot,1,4.687202
allow,1,4.002070
alloy,1,4.304826
allyl,0,3.346245
almah,0,4.064754
almas,0,4.196643
almeh,0,5.043156
almes,0,5.175542
almud,0,4.477904
almug,0,4.331220
alods,0,4.941355
aloed,0,5.391037
aloes,0,5.525798
aloft,1,4.927067
aloha,0,4.269993
aloin,0,5.219278
alone,1,5.614036
along,1,4.865900
aloof,1,4.092952
aloos,0,4.521381
aloud,1,4.850175
alowe,0,5.103270
alpha,1,3.918425
altar,1,4.838487
alter,1,5.713171
altho,0,4.918843
altos,0,5.220324
alula,0,3.659765
alums,0,4.656184
alure,0,5.594358
alvar,0,4.225620
alway,0,3.866940
amahs,0,3.850843
amain,0,4.230563
amass,1,3.438971
amate,0,4.703825
amaut,0,4.186615
amaze,1,3.787793
amban,0,3.741294
amber,1,4.862385
ambit,0,4.529546
amble,1,4.854838
ambos,0,4.299177
ambry,0,4.327164
ameba,0,3.884376
ameer,0,4.782622
amend,1,4.795430
amene,0,4.677004
amens,0,4.938415
ament,0,5.136716
amias,0,4.161333
amice,0,5.118262
amici,0,3.843732
amide,0,4.963438
amido,0,4.481070
amids,0,4.487062
amies,0,5.100958
amiga,0,3.783823
amigo,0,4.398957
amine,0,5.187994
amino,0,4.703354
amins,0,4.731171
amirs,0,4.922209
amiss,1,4.047637
amity,1,4.675450
amlas,0,4.112127
amman,0,3.269575
ammon,0,3.895842
ammos,0,3.852088
amnia,0,4.038580
amnic,0,4.495330
amnio,0,4.644756
amoks,0,4.252719
amole,0,5.266357
among,1,4.423502
amort,0,5.166610
amour,0,4.848054
amove,0,4.571407
amowt,0,4.439149
amped,0,4.613640
ample,1,4.953569
amply,1,4.301577
ampul,0,4.345893
amrit,0,5.110210
amuck,0,3.987389
amuse,1,5.047928
amyls,0,4.477722
anana,0,2.935616
anata,0,3.759833
ancho,0,4.516862
ancle,0,5.358542
ancon,0,4.146984
andro,0,4.957464
anear,0,4.915453
anele,0,5.061704
anent,0,4.719222
angas,0,4.037183
angel,1,5.140910
anger,1,5.190980
angle,1,5.185033
anglo,0,4.739772
angry,1,4.663214
angst,1,4.865540
anigh,0,4.584021
anile,0,5.600095
anils,0,5.127488
anima,0,4.070737
anime,1,5.178278
animi,0,3.921745
anion,0,4.358364
anise,0,5.565907
anker,0,4.996876
ankhs,0,4.156565
ankle,1,4.999441
ankus,0,4.248639
anlas,0,4.416094
annal,0,3.757084
annas,0,3.643597
annat,0,3.856263
annex,1,3.840227
annoy,1,4.105667
annul,1,4.186482
anoas,0,4.475823
anode,1,5.253543
anole,0,5.565099
anomy,0,4.588520
ansae,0,4.830280
antae,0,4.906318
antar,0,4.727322
antas,0,4.433419
anted,0,5.255622
antes,0,5.384577
antic,1,4.883805
antis,0,5.055106
antra,0,4.557794
antre,0,5.680472
antsy,0,4.932571
anura,0,4.374522
anvil,1,4.561449
anyon,0,4.071838
aorta,1,4.770697
apace,0,4.615474
apage,0,4.386044
apaid,0,4.131771
apart,1,4.638494
apayd,0,3.787998
apays,0,3.912982
apeak,0,3.982301
apeek,0,4.252662
apers,0,5.187570
apert,0,5.435186
apery,0,5.049636
apgar,0,4.137586
aphid,1,4.303932
aphis,0,4.436853
apian,0,4.305105
aping,1,4.476050
apiol,0,4.977924
apish,0,4.736384
apism,0,4.589758
apnea,1,4.480931
apode,0,5.027693
apods,0,4.548130
apoop,0,3.382497
aport,0,5.247026
appal,0,3.438154
appay,0,3.170386
appel,0,4.425060
apple,1,4.485313
apply,1,3.825874
appro,0,4.130294
appui,0,3.623844
appuy,0,3.578176
apres,0,5.292663
apron,1,5.027306
apses,0,4.357801
apsis,0,4.013006
apsos,0,4.007451
apted,0,5.042266
apter,0,5.395489
aptly,1,4.725228
aquae,0,3.840863
aquas,0,3.407547
araba,0,3.573841
araks,0,4.251282
arame,0,4.885450
arars,0,4.070758
arbas,0,4.305794
arbor,1,4.410847
arced,0,5.320179
archi,0,4.730023
arcos,0,5.124207
arcus,0,4.891736
ardeb,0,5.054340
ardor,1,4.545278
ardri,0,4.346211
aread,0,4.798783
areae,0,4.648954
areal,0,5.020944
arear,0,4.389428
areas,0,4.924437
areca,0,4.819726
aredd,0,4.594656
arede,0,5.024491
arefy,0,4.917219
areic,0,5.398901
arena,1,4.908161
arene,0,5.259770
arepa,0,4.640579
arere,0,4.611299
arete,0,5.358505
arets,0,5.626704
arett,0,5.098057
argal,0,4.451973
argan,0,4.405844
argil,0,5.099918
argle,0,5.476026
argol,0,5.107823
argon,0,5.021721
argot,0,5.214968
argue,1,5.219119
argus,0,4.739541
arhat,0,4.592891
arias,0,4.758495
ariel,0,5.775167
ariki,0,4.072040
arils,0,5.373626
ariot,0,5.572828
arise,1,5.820940
arish,0,5.238297
arked,0,4.955392
arled,0,5.507850
arles,0,5.633089
armed,0,5.165538
armer,0,4.692426
armet,0,5.530363
armil,0,5.094232
armor,1,4.457741
arnas,0,4.667224
arnut,0,5.301753
aroba,0,4.306621
aroha,0,4.419835
aroid,0,5.180137
aroma,1,4.366216
arose,1,5.767797
arpas,0,4.409935
arpen,0,5.392531
arrah,0,3.929641
arras,0,4.060189
array,1,3.921892
arret,0,5.223725
arris,0,4.676411
arrow,1,4.238687
arroz,0,3.936118
arsed,0,5.462718
arses,0,4.877822
arsey,0,5.419654
arsis,0,4.557683
arson,1,5.340566
artal,0,4.818348
artel,0,5.768295
artic,0,5.199760
artis,0,5.360603
artsy,1,5.217736
aruhe,0,5.301658
arums,0,4.798454
arval,0,4.199365
arvee,0,4.725873
arvos,0,4.738030
aryls,0,5.036775
asana,0,3.619018
ascon,0,4.819288
ascot,1,4.983826
ascus,0,3.781727
asdic,0,4.500753
ashed,0,4.799510
ashen,1,5.014165
ashes,0,4.220898
ashet,0,5.174652
aside,1,5.190735
asked,0,4.586073
asker,0,4.950027
askew,1,4.289285
askoi,0,4.307871
askos,0,3.690204
aspen,0,5.058918
asper,0,5.210785
aspic,0,4.486330
aspie,0,5.134505
aspis,0,3.939096
aspro,0,4.846052
assai,0,3.530127
assam,0,3.309546
assay,1,3.437651
asses,0,3.727092
asset,1,4.774678
assez,0,3.784457
assot,0,4.446310
aster,0,5.527285
astir,0,5.291689
astun,0,4.835199
asura,0,4.316800
asway,0,3.664153
aswim,0,4.142900
asyla,0,4.093543
ataps,0,4.212809
ataxy,0,3.549303
atigi,0,4.018821
atilt,0,4.703499
atimy,0,4.665196
atlas,0,4.463087
atman,0,4.175862
atmas,0,4.091283
atmos,0,4.720643
atocs,0,4.972266
atoke,0,5.053173
atoks,0,4.604934
atoll,1,4.601323
atoms,0,4.760682
atomy,0,4.665171
atone,1,5.557518
atony,0,5.014844
atopy,0,4.713990
atria,0,4.640004
atrip,0,5.074675
attap,0,3.579509
attar,0,4.086426
attic,1,4.221288
atuas,0,4.304430
audad,0,3.354207
audio,1,4.589642
audit,1,4.881950
auger,0,5.125239
aught,0,4.461784
augur,1,4.042412
aulas,0,4.359327
aulic,0,4.759652
auloi,0,4.788779
aulos,0,4.966297
aumil,0,4.717207
aunes,0,5.241686
aunts,0,4.960322
aunty,1,4.776120
aurae,0,4.947421
aural,0,4.601165
aurar,0,3.986666
auras,0,4.508946
aurei,0,5.306978
aures,0,5.434458
auric,0,4.906029
auris,0,5.082559
aurum,0,3.972473
autos,0,4.972576
auxin,0,4.112421
avail,1,4.077796
avale,0,4.462249
avant,0,4.126719
avast,0,4.179836
avels,0,4.777658
avens,0,4.699801
avers,0,4.865635
avert,1,5.086686
avgas,0,3.500268
avian,1,3.973623
avine,0,4.936607
avion,0,4.528679
avise,0,5.015001
aviso,0,4.535102
avize,0,4.123382
avoid,1,4.330769
avows,0,3.976082
avyze,0,3.775725
await,1,4.262093
awake,1,3.974769
award,1,4.061222
aware,1,4.664228
awarn,0,4.237003
awash,1,3.918142
awato,0,4.115321
awave,0,3.879835
aways,0,3.696306
awdls,0,4.350877
aweel,0,4.583468
aweto,0,4.868312
awful,1,3.978044
awing,0,4.255777
awmry,0,4.234263
awned,0,4.764871
awner,0,5.081687
awoke,1,4.534056
awols,0,4.681436
awork,0,4.392840
axels,0,4.560186
axial,1,3.815660
axile,0,4.834331
axils,0,4.358540
axing,0,3.922173
axiom,1,3.972617
axion,1,4.301522
axite,0,4.817531
axled,0,4.486151
axles,0,4.621865
axman,0,3.311402
axmen,0,4.278504
axoid,0,4.107741
axone,0,4.712501
axons,0,4.296346
ayahs,0,3.956383
ayaya,0,2.523757
ayelp,0,4.887112
aygre,0,5.078688
ayins,0,4.840129
ayont,0,5.075439
ayres,0,5.297061
ayrie,0,5.396720
azans,0,3.669730
azide,0,4.487436
azido,0,3.997902
azine,0,4.722850
azlon,0,4.300962
azoic,0,4.067502
azole,0,4.795267
azons,0,4.277614
azote,0,4.782618
azoth,0,4.226689
azuki,0,3.449784
azure,1,4.703830
azurn,0,4.283815
azury,0,4.084587
azygy,0,2.793515
azyme,0,4.051620
azyms,0,3.604514
baaed,0,4.412676
baals,0,4.266613
babas,0,3.272209
babel,0,4.382979
babes,0,4.234447
babka,0,2.756885
baboo,0,3.235826
babul,0,3.851096
babus,0,3.686905
bacca,0,3.203927
bacco,0,3.881614
baccy,0,3.692948
bacha,0,3.651555
bachs,0,4.274012
backs,0,4.087472
bacon,1,4.689526
baddy,0,3.543743
badge,1,4.691324
badly,1,4.455080
baels,0,5.127639
baffs,0,3.378813
baffy,0,3.239999
bafts,0,4.351840
bagel,1,4.943592
baggy,1,3.437078
baghs,0,4.137796
bagie,0,4.962312
bahts,0,4.523482
bahus,0,4.268989
bahut,0,4.487550
bails,0,4.944559
bairn,0,5.098444
baisa,0,4.285574
baith,0,4.819541
baits,0,4.948526
baiza,0,3.397498
baize,0,4.518262
bajan,0,3.359704
bajra,0,3.459742
bajri,0,4.039208
bajus,0,3.715580
baked,0,4.441128
baken,0,4.639370
baker,1,4.798637
bakes,0,4.585602
bakra,0,3.803458
balas,0,4.198655
balds,0,4.548384
baldy,0,4.399740
baled,0,5.030563
baler,1,5.332347
bales,0,5.168771
balks,0,4.329433
balky,0,4.156859
balls,0,4.135834
bally,0,3.963490
balms,0,4.477289
balmy,1,4.325817
baloo,0,4.171818
balsa,0,4.229766
balti,0,4.843904
balun,0,4.684086
balus,0,4.622885
bambi,0,3.470691
banak,0,3.759190
banal,1,4.281710
banco,0,4.666279
bancs,0,4.631015
banda,0,3.894196
bandh,0,4.388710
bands,0,4.498536
bandy,0,4.360850
baned,0,4.979532
banes,0,5.111118
bangs,0,4.406219
bania,0,4.169220
banjo,1,3.910449
banks,0,4.267336
banns,0,4.021513
bants,0,4.826359
bantu,0,4.604378
banty,0,4.664125
banya,0,3.821418
bapus,0,4.293545
barbe,0,4.563400
barbs,0,4.068530
barby,0,3.907294
barca,0,4.232325
barde,0,5.205891
bardo,0,4.775583
bards,0,4.708117
bardy,0,4.561550
bared,0,5.161127
barer,0,4.698077
bares,0,5.297109
barfi,0,4.426964
barfs,0,4.478648
barge,1,5.114867
baric,0,4.834576
barks,0,4.482758
barky,0,4.307589
barms,0,4.638025
barmy,0,4.487129
barns,0,4.966637
barny,0,4.815145
baron,1,5.048480
barps,0,4.679483
barra,0,3.711889
barre,0,4.827673
barro,0,4.390332
barry,0,4.181017
barye,0,5.108413
basal,1,4.266957
basan,0,4.203565
based,0,4.936065
basen,0,5.149361
baser,0,5.300562
bases,0,4.361719
basho,0,4.490754
basic,1,4.602855
basij,0,3.983781
basil,1,4.928584
basin,1,4.829620
basis,1,4.039520
basks,0,3.520018
bason,0,4.833064
basse,0,4.551555
bassi,0,3.989221
basso,0,4.083374
bassy,0,3.892903
basta,0,4.180717
baste,1,5.303655
basti,0,4.755108
basto,0,4.853873
basts,0,4.074609
batch,1,4.529176
bated,0,5.039705
bates,0,5.174062
bathe,1,5.049162
baths,0,4.522746
batik,0,4.473225
baton,1,4.922849
batta,0,3.530382
batts,0,4.145574
battu,0,3.940305
batty,1,3.995541
bauds,0,4.385480
bauks,0,4.151701
baulk,0,4.322512
baurs,0,4.812543
bavin,0,4.284020
bawds,0,3.997745
bawdy,1,3.844992
bawks,0,3.771294
bawls,0,4.334671
bawns,0,4.272829
bawrs,0,4.442355
bawty,0,4.172723
bayed,0,4.678347
bayer,0,5.036375
bayes,0,4.829768
bayle,0,5.032394
bayou,1,4.305385
bayts,0,4.575302
bazar,0,3.636821
bazoo,0,3.292394
beach,1,4.794573
beads,0,4.841259
beady,1,4.652694
beaks,0,4.597082
beaky,0,4.383660
beals,0,5.188257
beams,0,4.767539
beamy,0,4.584028
beano,0,5.088832
beans,0,5.101585
beany,0,4.911987
beard,1,5.145928
beare,0,5.002695
bears,0,5.264191
beast,1,5.371545
beath,0,5.020513
beats,0,5.181435
beaty,0,4.978311
beaus,0,4.873912
beaut,0,5.115180
beaux,0,4.137883
bebop,0,3.717908
becap,0,4.622601
becke,0,3.847074
becks,0,4.092576
bedad,0,4.048098
bedel,0,4.355459
bedes,0,4.174907
bedew,0,3.750500
bedim,0,4.324719
bedye,0,3.966686
beech,1,4.030145
beedi,0,4.044199
beefs,0,3.828711
beefy,1,3.655853
beeps,0,4.036599
beers,0,4.506816
beery,0,4.334188
beets,0,4.400926
befit,1,4.567297
befog,0,4.053279
begad,0,4.544524
began,1,4.731812
begar,0,4.975679
begat,1,4.895145
begem,0,3.826305
beget,1,4.318610
begin,1,4.541807
begot,0,4.711732
begum,0,3.996548
begun,1,4.325947
beige,0,4.300616
beigy,0,4.398911
being,1,4.550618
beins,0,4.884870
bekah,0,4.329988
belah,0,4.909307
belar,0,5.303444
belay,0,4.868377
belch,1,4.530849
belee,0,3.834313
belga,0,4.689790
belie,1,4.638321
belle,1,3.915898
bells,0,4.170115
belly,1,3.957180
belon,0,4.904494
below,1,4.413398
belts,0,4.914647
bemad,0,4.539393
bemas,0,4.687873
bemix,0,3.732642
bemud,0,4.145481
bench,1,4.461756
bends,0,4.514522
bendy,0,4.327807
benes,0,4.413252
benet,0,4.642876
benga,0,4.610267
benis,0,4.823016
benne,0,3.780486
benni,0,4.002282
benny,0,3.835681
bento,0,4.893428
bents,0,4.848354
benty,0,4.640622
bepat,0,4.966736
beray,0,5.027979
beres,0,4.608704
beret,1,4.841070
bergs,0,4.635125
berko,0,4.542604
berks,0,4.493570
berme,0,4.388365
berms,0,4.650444
berob,0,4.198278
berry,1,4.164365
berth,1,4.904541
beryl,0,4.760097
besat,0,5.224855
besaw,0,4.560120
besee,0,3.756885
beses,0,3.666353
beset,1,4.620244
besit,0,5.040339
besom,0,4.530867
besot,0,5.033832
besti,0,4.816282
bests,0,4.099392
betas,0,5.067673
beted,0,4.342134
betel,1,4.630079
betes,0,4.470316
beths,0,4.543171
betid,0,4.746868
beton,0,4.929931
betta,0,4.375337
betty,0,3.980923
bevel,1,3.980560
bever,0,4.036897
bevor,0,4.513795
bevue,0,3.764236
bevvy,0,3.114262
bewet,0,4.140822
bewig,0,4.030266
bezel,1,3.748713
bezes,0,3.579254
bezil,0,4.167048
bezzy,0,2.816103
bhais,0,4.583203
bhaji,0,3.633086
bhang,0,4.227990
bhats,0,4.618055
bhels,0,4.602215
bhoot,0,3.931605
bhuna,0,4.299685
bhuts,0,4.219849
biach,0,4.549791
biali,0,4.130032
bialy,0,4.770591
bibbs,0,2.712512
bibes,0,4.046233
bible,1,4.252308
biccy,0,3.472593
bicep,1,4.541044
bices,0,4.754936
biddy,1,3.328443
bided,0,3.963066
bider,0,4.905833
bides,0,4.691080
bidet,0,4.929764
bidis,0,3.562223
bidon,0,4.420417
bield,0,4.768102
biers,0,5.010086
biffo,0,3.203333
biffs,0,3.156639
biffy,0,3.021313
bifid,0,3.169212
bigae,0,4.878587
biggs,0,3.349520
biggy,0,3.206711
bigha,0,4.063355
bight,0,4.106067
bigly,0,4.153941
bigos,0,4.266401
bigot,1,4.481548
bijou,0,3.520933
biked,0,4.253231
biker,0,4.607480
bikes,0,4.404215
bikie,0,3.777828
bilbo,0,3.733647
bilby,0,3.547557
biled,0,4.845606
biles,0,4.992275
bilge,1,4.766142
bilgy,0,4.132344
bilks,0,4.123365
bills,0,3.934649
billy,1,3.766536
bimah,0,4.295097
bimas,0,4.413873
bimbo,0,3.347959
binal,0,4.857367
bindi,0,3.481299
binds,0,4.258389
biner,0,5.095561
bines,0,4.904207
binge,1,4.657029
bingo,1,4.211780
bings,0,4.165266
bingy,0,4.030121
binit,0,4.009244
binks,0,4.026970
bints,0,4.598116
biogs,0,4.320508
biome,1,4.764337
biont,0,4.893065
biota,0,4.853920
biped,0,4.500781
bipod,0,4.185063
birch,1,4.463629
birds,0,4.488083
birks,0,4.259568
birle,0,5.294497
birls,0,4.791289
biros,0,4.806258
birrs,0,4.115650
birse,0,5.294300
birsy,0,4.652716
birth,1,4.684272
bises,0,4.179251
bisks,0,3.302893
bisom,0,4.304148
bison,1,4.633581
bitch,0,4.304994
biter,0,5.196380
bites,0,4.989928
bitos,0,4.665345
bitou,0,4.458866
bitsy,0,4.520289
bitte,0,4.437818
bitts,0,3.943032
bitty,1,3.790195
bivia,0,3.372412
bivvy,0,2.913190
bizes,0,4.099368
bizzo,0,2.801320
bizzy,0,2.617031
blabs,0,3.954496
black,1,4.315485
blade,1,5.114478
blads,0,4.600015
blady,0,4.473823
blaer,0,5.402170
blaes,0,5.230340
blaff,0,3.537249
blags,0,4.522366
blahs,0,4.558412
blain,0,4.937576
blame,1,5.020466
blams,0,4.512382
bland,1,4.716058
blank,1,4.440183
blare,1,5.489099
blart,0,5.218485
blase,0,5.394758
blash,0,4.757145
blast,1,5.120171
blate,0,5.422839
blats,0,4.929907
blatt,0,4.393783
blaud,0,4.558153
blawn,0,4.361215
blaws,0,4.324730
blays,0,4.557416
blaze,1,4.527923
bleak,1,4.596921
blear,0,5.278904
bleat,1,5.233089
blebs,0,3.937857
blech,0,4.534685
bleed,1,4.342489
bleep,1,4.282624
blees,0,4.495665
blend,1,4.668201
blent,0,5.009933
blert,0,5.189027
bless,1,4.136844
blest,0,5.089319
blets,0,4.901388
bleys,0,4.508802
blimp,1,4.092809
blimy,0,4.197916
blind,1,4.488836
bling,0,4.304247
blini,0,3.841757
blink,1,4.224258
blins,0,4.628554
bliny,0,4.496083
blips,0,4.377418
bliss,1,3.976641
blist,0,4.935921
blite,0,5.238019
blits,0,4.756614
blitz,1,3.983372
blive,0,4.563975
bloat,1,5.097079
blobs,0,3.771470
block,1,4.124858
blocs,0,4.552098
blogs,0,4.332172
bloke,1,4.639542
blond,1,4.527142
blood,1,3.882961
blook,0,3.603519
bloom,1,3.722051
bloop,0,3.784792
blore,0,5.283795
blots,0,4.752213
blown,1,4.170526
blows,0,4.135368
blowy,0,4.003784
blubs,0,3.546800
blude,0,4.698101
bluds,0,4.195523
bludy,0,4.058460
blued,0,4.701123
bluer,1,5.005130
blues,0,4.839021
bluet,0,5.054071
bluey,0,4.664667
bluff,1,3.127835
bluid,0,4.374479
blume,0,4.590940
blunk,0,4.015694
blunt,1,4.621624
blurb,1,3.766175
blurs,0,4.577823
blurt,1,4.804580
blush,1,4.362679
blype,0,4.469173
boabs,0,3.966317
boaks,0,4.384935
board,1,4.935595
boars,0,5.033151
boart,0,5.294785
boast,1,5.138767
boats,0,4.958933
bobac,0,3.774406
bobak,0,3.502507
bobas,0,3.903622
bobby,1,2.607677
bobol,0,3.188555
bobos,0,3.018859
bocca,0,3.822315
bocce,0,4.167686
bocci,0,3.623925
boche,0,4.609397
bocks,0,3.911655
boded,0,3.994566
bodes,0,4.707929
bodge,0,4.503436
bodhi,0,4.036898
bodle,0,4.937759
boeps,0,4.559242
boets,0,4.932866
boeuf,0,4.272785
boffo,0,2.568636
boffs,0,3.210154
bogan,0,4.504307
bogey,0,4.453439
boggy,0,3.267908
bogie,0,4.779285
bogle,0,4.835271
bogue,0,4.562838
bogus,0,4.085980
bohea,0,4.776463
bohos,0,3.609434
boils,0,4.786659
boing,0,4.356949
boink,0,4.273541
boite,0,5.246126
boked,0,4.273312
bokeh,0,4.277724
bokes,0,4.414055
bokos,0,3.392587
bolar,0,5.113440
bolas,0,4.837533
bolds,0,4.396471
boles,0,5.009894
bolix,0,3.939733
bolls,0,3.981090
bolos,0,3.963127
bolts,0,4.735711
bolus,0,4.484123
bomas,0,4.457322
bombe,0,3.841919
bombo,0,2.703342
bombs,0,3.349463
bonce,0,4.960676
bonds,0,4.331138
boned,0,4.813661
boner,0,5.129140
bones,0,4.941391
boney,1,4.755548
bongo,1,3.596869
bongs,0,4.236305
bonie,0,5.107520
bonks,0,4.095312
bonne,0,4.317607
bonny,0,3.691803
bonus,1,4.420430
bonza,0,3.903440
bonze,0,4.240761
booai,0,4.027806
booay,0,3.997307
boobs,0,3.043830
booby,1,2.894890
boody,0,3.556868
booed,0,4.168695
boofy,0,3.320870
boogy,0,3.484217
boohs,0,3.671791
books,0,3.464872
booky,0,3.298855
bools,0,4.036047
booms,0,3.603153
boomy,0,3.469039
boong,0,3.636627
boons,0,3.948855
boord,0,4.016669
boors,0,4.129827
boose,0,4.450276
boost,1,4.221612
booth,1,3.905698
boots,0,4.037804
booty,1,3.876552
booze,1,3.569233
boozy,1,2.965025
boppy,0,3.312664
borak,0,4.596324
boral,0,5.086578
boras,0,4.989933
borax,1,4.239343
borde,0,5.019931
bords,0,4.542737
bored,0,5.000291
boree,0,4.818739
borel,0,5.247127
borer,0,4.528831
